Gene Systematic Name,Gene Official Symbol,Gene Synonyms,Organism
YNL154C,YCK2,serine/threonine protein kinase YCK2|L000002501,Saccharomyces cerevisiae (S288c)
YPR019W,MCM4,CDC54|HCD21|MCM DNA helicase complex subunit MCM4|L000002761,Saccharomyces cerevisiae (S288c)
YLR274W,MCM5,BOB1|CDC46|MCM DNA helicase complex subunit MCM5|L000000279,Saccharomyces cerevisiae (S288c)
YOR001W,RRP6,exosome nuclease subunit RRP6|L000003540,Saccharomyces cerevisiae (S288c)
-,TEC,PSCTK4,Homo sapiens
YKR071C,DRE2,-,Saccharomyces cerevisiae (S288c)
YIL003W,CFD1,DRE3,Saccharomyces cerevisiae (S288c)
YMR301C,ATM1,ATP-binding cassette Fe/S cluster precursor transporter ATM1|L000000140,Saccharomyces cerevisiae (S288c)
YGL020C,GET1,MDM39,Saccharomyces cerevisiae (S288c)
YJR035W,RAD26,DNA-dependent ATPase RAD26|L000001569,Saccharomyces cerevisiae (S288c)
YGR184C,UBR1,PTR1|E3 ubiquitin-protein ligase UBR1|L000002420,Saccharomyces cerevisiae (S288c)
YDL088C,ASM4,NUP59|FG-nucleoporin ASM4|L000002642,Saccharomyces cerevisiae (S288c)
YGR232W,NAS6,-,Saccharomyces cerevisiae (S288c)
YNL330C,RPD3,MOF6|REC3|SDI2|SDS6|histone deacetylase RPD3|L000001696|L000001603,Saccharomyces cerevisiae (S288c)
YDR293C,SSD1,CLA1|MCS1|RLT1|SRK1|mRNA-binding translational repressor SSD1|L000002077,Saccharomyces cerevisiae (S288c)
YER177W,BMH1,APR6|14-3-3 family protein BMH1|L000000185,Saccharomyces cerevisiae (S288c)
YDR001C,NTH1,"alpha,alpha-trehalase NTH1|L000001280",Saccharomyces cerevisiae (S288c)
YPR026W,ATH1,"alpha,alpha-trehalase ATH1|L000003059",Saccharomyces cerevisiae (S288c)
YGL253W,HXK2,HEX1|HKB|SCI2|hexokinase 2|L000000834,Saccharomyces cerevisiae (S288c)
YDR440W,DOT1,PCH1|histone methyltransferase DOT1|KMT4|L000004390|L000004273,Saccharomyces cerevisiae (S288c)
YGR252W,GCN5,AAS104|ADA4|SWI9|histone acetyltransferase GCN5|KAT2|L000000684,Saccharomyces cerevisiae (S288c)
YDR409W,SIZ1,ULL1|SUMO ligase SIZ1|S000007589,Saccharomyces cerevisiae (S288c)
YOR156C,NFI1,SIZ2|SUMO ligase NFI1|L000002966,Saccharomyces cerevisiae (S288c)
YBL063W,KIP1,CIN9|L000000907,Saccharomyces cerevisiae (S288c)
YOR195W,SLK19,L000004340,Saccharomyces cerevisiae (S288c)
YKR019C,IRS4,L000004394,Saccharomyces cerevisiae (S288c)
YCR086W,CSM1,S000007653,Saccharomyces cerevisiae (S288c)
YDR146C,SWI5,DNA-binding transcription factor SWI5|L000002253,Saccharomyces cerevisiae (S288c)
YNL021W,HDA1,histone deacetylase HDA1|L000004088,Saccharomyces cerevisiae (S288c)
YER166W,DNF1,aminophospholipid-translocating P4-type ATPase DNF1,Saccharomyces cerevisiae (S288c)
YDR093W,DNF2,aminophospholipid-translocating P4-type ATPase DNF2,Saccharomyces cerevisiae (S288c)
YJR049C,UTR1,L000002680,Saccharomyces cerevisiae (S288c)
YPL188W,POS5,L000002651,Saccharomyces cerevisiae (S288c)
YCL033C,MXR2,MSRB,Saccharomyces cerevisiae (S288c)
YLR133W,CKI1,bifunctional choline kinase/ethanolamine kinase CKI1|L000000346,Saccharomyces cerevisiae (S288c)
YOR026W,BUB3,PAC9|L000000198,Saccharomyces cerevisiae (S288c)
YPR120C,CLB5,B-type cyclin CLB5|L000000353,Saccharomyces cerevisiae (S288c)
YDL155W,CLB3,B-type cyclin CLB3|L000000351,Saccharomyces cerevisiae (S288c)
YLR210W,CLB4,B-type cyclin CLB4|L000000352,Saccharomyces cerevisiae (S288c)
YAL015C,NTG1,FUN33|SCR1|ogg2|bifunctional N-glycosylase/AP lyase NTG1|L000004114,Saccharomyces cerevisiae (S288c)
YGR140W,CBF2,CEP2|CSL5|CTF14|NDC10|CBF3A|L000000430|L000001238|L000000221,Saccharomyces cerevisiae (S288c)
YDL003W,MCD1,PDS3|RHC21|SCC1|L000002676,Saccharomyces cerevisiae (S288c)
YGR230W,BNS1,L000004859,Saccharomyces cerevisiae (S288c)
Q0045,COX1,OXI3|cytochrome c oxidase subunit 1|L000004924|L000000383|L000001321,Saccharomyces cerevisiae (S288c)
YKL141W,SDH3,CYB3|YKL4|succinate dehydrogenase cytochrome b subunit SDH3|L000001825,Saccharomyces cerevisiae (S288c)
YMR306W,FKS3,"putative 1,3-beta-D-glucan synthase|L000004080",Saccharomyces cerevisiae (S288c)
YBR018C,GAL7,UDP-glucose:hexose-1-phosphate uridylyltransferase|L000000662,Saccharomyces cerevisiae (S288c)
YKL035W,UGP1,UTP glucose-1-phosphate uridylyltransferase|L000003118,Saccharomyces cerevisiae (S288c)
YKR039W,GAP1,amino acid permease GAP1|L000000667,Saccharomyces cerevisiae (S288c)
YNL268W,LYP1,lysine permease|L000000963,Saccharomyces cerevisiae (S288c)
YER023W,PRO3,ORE2|pyrroline-5-carboxylate reductase|L000001493,Saccharomyces cerevisiae (S288c)
YCL040W,GLK1,HOR3|glucokinase|L000000708,Saccharomyces cerevisiae (S288c)
YHR183W,GND1,phosphogluconate dehydrogenase (decarboxylating) GND1|L000003125,Saccharomyces cerevisiae (S288c)
YGR256W,GND2,phosphogluconate dehydrogenase (decarboxylating) GND2|L000003352,Saccharomyces cerevisiae (S288c)
YKL152C,GPM1,phosphoglycerate mutase GPM1|L000000726,Saccharomyces cerevisiae (S288c)
YDL021W,GPM2,phosphoglycerate mutase family protein GPM2|L000003294,Saccharomyces cerevisiae (S288c)
YEL024W,RIP1,ubiquinol--cytochrome-c reductase catalytic subunit RIP1|L000001643,Saccharomyces cerevisiae (S288c)
YBR294W,SUL1,SFP2|L000002180,Saccharomyces cerevisiae (S288c)
YLR092W,SUL2,L000003473,Saccharomyces cerevisiae (S288c)
YJL052W,TDH1,GLD3|glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) TDH1|GAPDH|L000002272,Saccharomyces cerevisiae (S288c)
YJR009C,TDH2,GLD2|glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) TDH2|GAPDH|L000002273,Saccharomyces cerevisiae (S288c)
YBR126C,TPS1,"BYP1|CIF1|FDP1|GGS1|GLC6|TSS1|alpha,alpha-trehalose-phosphate synthase (UDP-forming) TPS1|L000002330",Saccharomyces cerevisiae (S288c)
YMR261C,TPS3,L000002718,Saccharomyces cerevisiae (S288c)
YCL008C,STP22,AGS1|VPL15|VPS23|ubiquitin-binding ESCRT-I subunit protein STP22|L000003975|S000029031|L000000064,Saccharomyces cerevisiae (S288c)
YLR417W,VPS36,GRD12|VAC3|VPL11|ESCRT-II subunit protein VPS36|L000002958,Saccharomyces cerevisiae (S288c)
YDR363W-A,SEM1,DSS1|HOD1|proteasome regulatory particle lid subunit SEM1|L000003539|L000004647,Saccharomyces cerevisiae (S288c)
YFR010W,UBP6,L000004586,Saccharomyces cerevisiae (S288c)
YER012W,PRE1,proteasome core particle subunit beta 4|L000001483,Saccharomyces cerevisiae (S288c)
YPR103W,PRE2,DOA3|PRG1|SRR2|proteasome core particle subunit beta 5|L000001484,Saccharomyces cerevisiae (S288c)
YLR056W,ERG3,PSO6|SYR1|C-5 sterol desaturase|L000000570|L000004043,Saccharomyces cerevisiae (S288c)
YOR324C,FRT1,HPH1,Saccharomyces cerevisiae (S288c)
YAL028W,FRT2,HPH2,Saccharomyces cerevisiae (S288c)
YJR066W,TOR1,DRR1|phosphatidylinositol kinase-related protein kinase TOR1|L000002322,Saccharomyces cerevisiae (S288c)
YHL022C,SPO11,L000002002,Saccharomyces cerevisiae (S288c)
YLR394W,CST9,ZIP3|SUMO ligase CST9|L000002996,Saccharomyces cerevisiae (S288c)
YCR009C,RVS161,END6|FUS7|SPE161|amphiphysin-like protein RVS161|L000001788,Saccharomyces cerevisiae (S288c)
YLR372W,ELO3,SUR4|APA1|SRE1|VBM1|fatty acid elongase ELO3|L000002245,Saccharomyces cerevisiae (S288c)
YGL172W,NUP49,NSP49|FG-nucleoporin NUP49|L000001290,Saccharomyces cerevisiae (S288c)
YGR119C,NUP57,FG-nucleoporin NUP57|L000002619,Saccharomyces cerevisiae (S288c)
